generacion,empieza,distancia,max_comer,min_comer,ficha_casa,casilla_segura,recta_final,casilla_final,rebote,barrera,resultado,timestamp
58,11,31.39,45.37,24.241619262695313,-22.864104614257812,7.338587365150452,24.4226220703125,75.17587417602539,-32.59984642028809,15.873027954101564,Victoria,2025-06-07T20:35:41.087337
58,12,31.39,45.37,24.241619262695313,-22.864104614257812,7.338587365150452,24.4226220703125,75.17587417602539,-32.59984642028809,15.873027954101564,Derrota,2025-06-07T20:37:00.985718
59,11,26.862829332351687,54.443088607788084,24.241619262695313,-22.864104614257812,7.338587365150452,24.4226220703125,73.37,-32.59984642028809,15.873027954101564,Derrota,2025-06-07T20:38:22.479894
59,12,26.862829332351687,54.443088607788084,24.241619262695313,-22.864104614257812,7.338587365150452,24.4226220703125,73.37,-32.59984642028809,15.873027954101564,Victoria,2025-06-07T20:39:44.260085
60,11,26.862829332351687,54.443088607788084,0,-22.864104614257812,7.338587365150452,24.4226220703125,74.2729370880127,-32.59984642028809,15.873027954101564,Derrota,2025-06-07T20:41:08.309709
60,12,26.862829332351687,54.443088607788084,0,-22.864104614257812,7.338587365150452,24.4226220703125,74.2729370880127,-32.59984642028809,15.873027954101564,Victoria,2025-06-07T20:42:29.548736
61,11,26.862829332351687,54.443088607788084,12.120809631347656,-22.864104614257812,7.338587365150452,28.66,74.2729370880127,-32.59984642028809,8.52,Derrota,2025-06-07T20:43:50.885808
61,12,26.862829332351687,54.443088607788084,12.120809631347656,-22.864104614257812,7.338587365150452,28.66,74.2729370880127,-32.59984642028809,8.52,Victoria,2025-06-07T20:45:11.592285
62,11,26.862829332351687,54.443088607788084,18.75,-1.94,7.338587365150452,26.541311035156248,74.2729370880127,-32.59984642028809,34.86,Derrota,2025-06-07T20:46:33.084011
62,12,26.862829332351687,54.443088607788084,18.75,-1.94,7.338587365150452,26.541311035156248,74.2729370880127,-32.59984642028809,34.86,Victoria,2025-06-07T20:47:54.437510
63,11,26.862829332351687,54.443088607788084,15.435404815673827,-12.402052307128907,7.338587365150452,26.541311035156248,86.61,-32.59984642028809,23.528256988525392,Derrota,2025-06-07T20:49:16.496573
63,12,26.862829332351687,54.443088607788084,15.435404815673827,-12.402052307128907,7.338587365150452,26.541311035156248,86.61,-32.59984642028809,23.528256988525392,Victoria,2025-06-07T20:50:36.805148
64,11,26.862829332351687,54.443088607788084,15.435404815673827,0,7.338587365150452,26.541311035156248,80.44146854400634,-32.59984642028809,23.528256988525392,Derrota,2025-06-07T20:51:59.200289
64,12,26.862829332351687,54.443088607788084,15.435404815673827,0,7.338587365150452,26.541311035156248,80.44146854400634,-32.59984642028809,23.528256988525392,Victoria,2025-06-07T20:53:22.027731
65,11,26.862829332351687,54.443088607788084,15.435404815673827,-6.201026153564453,7.338587365150452,26.541311035156248,66.44,-20.14,23.528256988525392,Derrota,2025-06-07T20:54:43.417232
65,12,26.862829332351687,54.443088607788084,15.435404815673827,-6.201026153564453,7.338587365150452,26.541311035156248,66.44,-20.14,23.528256988525392,Victoria,2025-06-07T20:56:05.310502
66,11,26.862829332351687,64.94,15.435404815673827,-6.201026153564453,7.338587365150452,26.541311035156248,73.44073427200317,-26.369923210144044,23.528256988525392,Derrota,2025-06-07T20:57:25.969413
66,12,26.862829332351687,64.94,15.435404815673827,-6.201026153564453,7.338587365150452,26.541311035156248,73.44073427200317,-26.369923210144044,23.528256988525392,Victoria,2025-06-07T20:58:46.874448
67,11,12.55,59.69154430389404,15.435404815673827,0,7.338587365150452,26.541311035156248,73.44073427200317,-26.369923210144044,48.69,Derrota,2025-06-07T21:00:08.359318
67,12,12.55,59.69154430389404,15.435404815673827,0,7.338587365150452,26.541311035156248,73.44073427200317,-26.369923210144044,48.69,Victoria,2025-06-07T21:01:28.511099
68,11,13.67,32.55,43.69,-3.1005130767822267,0,26.541311035156248,73.44073427200317,-47.51,36.10912849426269,Victoria,2025-06-07T21:02:51.249819
68,12,13.67,32.55,43.69,-3.1005130767822267,0,26.541311035156248,73.44073427200317,-47.51,36.10912849426269,Derrota,2025-06-07T21:04:13.214235
69,11,16.688207333087924,46.12077215194702,29.562702407836912,-3.1005130767822267,3.669293682575226,7.44,73.44073427200317,-36.93996160507202,36.10912849426269,Victoria,2025-06-07T21:05:07.140166
69,12,16.688207333087924,46.12077215194702,29.562702407836912,-3.1005130767822267,3.669293682575226,7.44,73.44073427200317,-36.93996160507202,36.10912849426269,Derrota,2025-06-07T21:06:01.518774
70,11,16.688207333087924,29.32,29.562702407836912,-3.1005130767822267,3.669293682575226,16.990655517578123,73.44073427200317,-36.93996160507202,60.75,Victoria,2025-06-07T21:06:55.807531
